Reaction Date,Reaction Type,Parent Type,Parent ID
"Nov 17, 2024, 12:03:21 PM",Kudos,Activity,12920036892
"Nov 18, 2024, 4:36:00 PM",Kudos,Activity,12929751927
"Nov 18, 2024, 4:36:20 PM",Kudos,Activity,12921405151
"Nov 18, 2024, 4:36:25 PM",Kudos,Activity,12924380520
"Nov 18, 2024, 4:36:30 PM",Kudos,Activity,12923326251
"Nov 21, 2024, 8:17:43 PM",Kudos,Activity,12953437664
"Nov 21, 2024, 8:17:51 PM",Kudos,Activity,12952447616
"Nov 21, 2024, 8:17:55 PM",Kudos,Activity,12944776964
"Nov 21, 2024, 8:18:02 PM",Kudos,Activity,12946017771
"Nov 21, 2024, 8:18:06 PM",Kudos,Activity,12941591729
"Nov 22, 2024, 5:45:11 PM",Kudos,Activity,12959163955
"Nov 22, 2024, 5:45:24 PM",Kudos,Activity,12956581767
"Nov 23, 2024, 3:03:59 PM",Kudos,Activity,12965636072
"Nov 26, 2024, 7:16:15 PM",Kudos,Activity,12985321273
"Nov 26, 2024, 7:16:25 PM",Kudos,Activity,12989575941
"Nov 26, 2024, 7:17:24 PM",Kudos,Activity,12989510202
"Nov 26, 2024, 7:17:36 PM",Kudos,Activity,12989606735
"Nov 27, 2024, 7:30:57 AM",Kudos,Activity,12989683850
"Nov 27, 2024, 6:25:45 PM",Kudos,Activity,12995509984
"Nov 27, 2024, 6:25:51 PM",Kudos,Activity,12995938814
"Nov 28, 2024, 8:07:28 PM",Kudos,Activity,13004207269
"Nov 28, 2024, 8:07:36 PM",Kudos,Activity,12996610860
"Nov 28, 2024, 8:07:48 PM",Kudos,Activity,13003286059
"Nov 30, 2024, 1:50:14 PM",Kudos,Activity,13014529894
"Dec 1, 2024, 12:29:43 PM",Kudos,Activity,13021862952
"Dec 1, 2024, 12:29:46 PM",Kudos,Activity,13016442878
"Dec 1, 2024, 1:47:36 PM",Kudos,Activity,13023094288
"Dec 2, 2024, 8:38:20 PM",Kudos,Activity,13031075110
"Dec 3, 2024, 7:23:10 PM",Kudos,Activity,13039887346
"Dec 3, 2024, 7:23:17 PM",Kudos,Activity,13039762457
"Dec 3, 2024, 7:23:22 PM",Kudos,Activity,13039819172
"Dec 3, 2024, 7:23:24 PM",Kudos,Activity,13039754396
"Dec 3, 2024, 7:23:34 PM",Kudos,Activity,13037446988
"Dec 3, 2024, 7:23:38 PM",Kudos,Activity,13038217806
"Dec 4, 2024, 9:09:35 PM",Kudos,Activity,13040004409
"Dec 4, 2024, 9:10:00 PM",Kudos,Activity,13047012056
"Dec 5, 2024, 6:48:11 PM",Kudos,Activity,13053272456
"Dec 5, 2024, 6:48:15 PM",Kudos,Activity,13053459390
"Dec 6, 2024, 8:16:22 PM",Kudos,Activity,13060669147
"Dec 6, 2024, 8:17:46 PM",Kudos,Activity,13058084274
"Dec 7, 2024, 12:41:42 PM",Kudos,Activity,13064060291
"Dec 7, 2024, 1:00:23 PM",Kudos,Activity,13065047874
"Dec 7, 2024, 6:23:57 PM",Kudos,Activity,13066218216
"Dec 8, 2024, 2:42:21 PM",Kudos,Activity,13071217905
"Dec 8, 2024, 2:42:28 PM",Kudos,Activity,13070253521
"Dec 8, 2024, 2:42:31 PM",Kudos,Activity,13070001767
"Dec 8, 2024, 2:42:34 PM",Kudos,Activity,13070880411
"Dec 10, 2024, 6:38:23 PM",Kudos,Activity,13087568616
"Dec 10, 2024, 6:38:26 PM",Kudos,Activity,13087683771
"Dec 10, 2024, 6:38:27 PM",Kudos,Activity,13087543432
"Dec 10, 2024, 6:38:29 PM",Kudos,Activity,13087636969
"Dec 10, 2024, 6:38:45 PM",Kudos,Activity,13087589223
"Dec 10, 2024, 7:03:25 PM",Kudos,Activity,13087845575
"Dec 10, 2024, 7:03:29 PM",Kudos,Activity,13087722552
"Dec 11, 2024, 4:55:13 PM",Kudos,Activity,13092852030
"Dec 12, 2024, 7:37:53 PM",Kudos,Activity,13101240979
"Dec 12, 2024, 7:38:05 PM",Kudos,Activity,13100598952
"Dec 12, 2024, 9:52:40 PM",Kudos,Activity,13102186487
"Dec 13, 2024, 5:45:26 PM",Kudos,Activity,13107719090
"Dec 13, 2024, 5:45:27 PM",Kudos,Activity,13106873014
"Dec 14, 2024, 2:04:33 PM",Kudos,Activity,13112704735
"Dec 15, 2024, 1:42:44 PM",Kudos,Activity,13119571237
"Dec 15, 2024, 7:57:21 PM",Kudos,Activity,13122850534
"Dec 16, 2024, 9:01:04 PM",Kudos,Activity,13128037177
"Dec 16, 2024, 9:01:09 PM",Kudos,Activity,13129799040
"Dec 16, 2024, 9:01:13 PM",Kudos,Activity,13129210089
"Dec 16, 2024, 9:01:20 PM",Kudos,Activity,13127852126
"Dec 16, 2024, 9:01:32 PM",Kudos,Activity,13127444884
"Dec 17, 2024, 9:37:59 AM",Kudos,Activity,13132472880
"Dec 17, 2024, 7:20:24 PM",Kudos,Activity,13136923989
"Dec 17, 2024, 7:20:32 PM",Kudos,Activity,13136811989
"Dec 17, 2024, 7:20:35 PM",Kudos,Activity,13136815407
"Dec 17, 2024, 7:20:40 PM",Kudos,Activity,13136887019
"Dec 17, 2024, 7:20:56 PM",Kudos,Activity,13135747364
"Dec 17, 2024, 7:21:03 PM",Kudos,Activity,13135246433
"Dec 18, 2024, 7:44:46 PM",Kudos,Activity,13143654150
"Dec 19, 2024, 6:12:16 PM",Kudos,Activity,13148711819
"Dec 19, 2024, 6:12:24 PM",Kudos,Activity,13149205245
"Dec 19, 2024, 6:12:26 PM",Kudos,Activity,13149173069
"Dec 19, 2024, 6:12:31 PM",Kudos,Activity,13149968800
"Dec 19, 2024, 6:12:33 PM",Kudos,Activity,13150118985
"Dec 19, 2024, 6:13:44 PM",Kudos,Activity,13149829097
"Dec 19, 2024, 8:03:12 PM",Kudos,Activity,13150693971
"Dec 19, 2024, 8:03:14 PM",Kudos,Activity,13150636128
